edfa_key,device_name,logical_name,pn,time_start,time_end,actual_gain_mean,actual_gain_min,actual_gain_max,actual_gain_std,actual_gain_tilt_mean,actual_gain_tilt_min,actual_gain_tilt_max,actual_gain_tilt_std,attenuation_mean,attenuation_min,attenuation_max,attenuation_std,inputTPM_avg_mean,inputTPM_avg_min,inputTPM_avg_max,inputTPM_avg_std,inputTPM_max_mean,inputTPM_max_min,inputTPM_max_max,inputTPM_max_std,inputTPM_min_mean,inputTPM_min_min,inputTPM_min_max,inputTPM_min_std,outputTPM_avg_mean,outputTPM_avg_min,outputTPM_avg_max,outputTPM_avg_std,outputTPM_max_mean,outputTPM_max_min,outputTPM_max_max,outputTPM_max_std,outputTPM_min_mean,outputTPM_min_min,outputTPM_min_max,outputTPM_min_std,gain_tilt_abs_max,gain_tilt_status,attenuation_status,edfa_status,gain_tilt_risk_score,attenuation_risk_score,edfa_risk_score,recommended_check
20|/TO_WEST_LA|EDFA3,20,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.94969325153374,21.9,22.0,0.050153139715404964,-1.4,-1.4,-1.4,0.0,0.0,0.0,0.0,0.0,-3.53680981595092,-3.7,-3.2,0.0935955675949608,-3.5049079754601222,-3.6,-3.2,0.09987874190310742,-3.8834355828220857,-4.0,-3.5,0.1491803960911053,17.06871165644172,16.9,17.3,0.11084494363729824,17.363803680981597,17.2,17.6,0.11045477589144895,17.0478527607362,16.9,17.3,0.1167129132217258,1.4,Normal,Normal,Normal,76.69902912621359,10.679611650485436,76.7,EDFA telemetry is within the normal dataset distribution.
21|/TO_WEST_LA|EDFA2,21,/TO_WEST_LA,EDFA2,2000-01-08 13:00:00,2000-01-15 07:00:00,14.941717791411042,14.9,15.0,0.04946123425327604,-1.4,-1.4,-1.4,0.0,1.9761349693251535,1.97,2.07,0.024071015134343995,3.766871165644172,3.6,4.0,0.11058498476197248,4.02760736196319,3.9,4.3,0.11401123160952686,3.7337423312883438,3.6,4.0,0.11505278385829615,17.262576687116564,17.1,17.5,0.11226395789957667,17.544171779141102,17.4,17.8,0.11498693404528618,17.236196319018404,17.1,17.5,0.11483863390958257,1.4,Normal,Normal,Normal,76.69902912621359,60.19417475728155,76.7,EDFA telemetry is within the normal dataset distribution.
22|/TO_WEST_LA|EDFA3,22,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.98036809815951,21.9,22.0,0.039843669363350986,-1.4,-1.4,-1.4,0.0,0.63,0.63,0.63,0.0,-3.4294478527607364,-3.6,-3.2,0.1093936799003995,-3.3981595092024537,-3.5,-3.1,0.11137324225825357,-3.698773006134969,-3.8,-3.4,0.11438926936494308,16.71042944785276,16.6,17.0,0.11526325045411327,16.976687116564417,16.9,17.2,0.11736329170741855,16.674233128834356,16.6,16.9,0.11997374046798076,1.4,Normal,Normal,Normal,76.69902912621359,44.1747572815534,76.7,EDFA telemetry is within the normal dataset distribution.
24|/TO_WEST_LA|EDFA3,24,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.980981595092025,21.9,22.0,0.03936556626439329,-1.4,-1.4,-1.4,0.0,1.0109202453987731,0.86,1.26,0.07727464100951412,-5.329447852760737,-5.5,-5.1,0.11543397200785005,-5.308588957055214,-5.5,-5.0,0.1113324312483612,-5.5546012269938645,-5.7,-5.3,0.12282802088503551,17.028220858895704,16.9,17.3,0.11304385822860105,17.31349693251534,17.2,17.6,0.10629294334690367,17.025153374233128,16.9,17.3,0.11349854966289528,1.4,Normal,Normal,Normal,76.69902912621359,51.45631067961165,76.7,EDFA telemetry is within the normal dataset distribution.
26|/TO_WEST_LA|EDFA3,26,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.945398773006133,21.9,22.0,0.04994126672344234,-1.4,-1.4,-1.4,0.0,3.4930674846625767,3.49,3.59,0.017296659505632077,-5.765030674846626,-5.9,-5.5,0.11681669841488478,-5.731288343558282,-5.9,-5.5,0.11890522857219936,-6.0325153374233125,-6.2,-5.8,0.11487160604092934,15.626993865030673,15.5,15.9,0.11058840924086831,15.92638036809816,15.8,16.2,0.1076277425677704,15.623312883435583,15.5,15.9,0.10975311922069282,1.4,Normal,Normal,Normal,76.69902912621359,74.75728155339806,76.7,EDFA telemetry is within the normal dataset distribution.
29|/TO_WEST_LA|EDFA3,29,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.938036809815948,21.9,22.0,0.04869733807344063,-1.4,-1.4,-1.4,0.0,1.0039877300613498,0.85,1.25,0.06110646323032681,-5.86319018404908,-6.0,-5.6,0.12169434247109545,-5.847239263803681,-6.0,-5.6,0.12136715210192314,-6.0693251533742325,-6.2,-5.8,0.12137651263812367,16.370552147239266,16.2,16.6,0.11435946971397824,16.6239263803681,16.5,16.9,0.10990139004739181,16.34355828220859,16.2,16.6,0.12071638520221603,1.4,Normal,Normal,Normal,76.69902912621359,50.48543689320388,76.7,EDFA telemetry is within the normal dataset distribution.
30|/TO_EAST_LA|EDFA3,30,/TO_EAST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.99754601226994,21.9,22.0,0.015519482958005173,-1.2,-1.2,-1.2,0.0,3.5277300613496934,3.44,3.54,0.03291028983702065,-3.4374233128834355,-3.5,-3.3,0.049796982369965014,-3.405521472392638,-3.5,-3.3,0.04875174418194306,-3.679141104294479,-3.8,-3.6,0.04507057254888277,17.25521472392638,17.2,17.3,0.04988056628566815,17.53558282208589,17.5,17.6,0.04802389013902713,17.25521472392638,17.2,17.3,0.04988056628566815,1.2,Normal,Normal,Normal,56.79611650485437,76.69902912621359,76.7,EDFA telemetry is within the normal dataset distribution.
31|/TO_WEST_LA|EDFA2,31,/TO_WEST_LA,EDFA2,2000-01-08 13:00:00,2000-01-15 07:00:00,14.958282208588956,14.9,15.0,0.04946123425327663,-1.4,-1.4,-1.4,0.0,1.92,1.92,1.92,0.0,1.7877300613496931,1.6,2.0,0.1093036353833714,1.9631901840490797,1.8,2.2,0.11913114218731748,1.7846625766871165,1.6,2.0,0.11087910337912738,15.609815950920247,15.5,15.8,0.09571996445804459,15.784049079754602,15.6,16.0,0.11217621739543453,15.59877300613497,15.4,15.8,0.10182757761593397,1.4,Normal,Normal,Normal,76.69902912621359,59.22330097087378,76.7,EDFA telemetry is within the normal dataset distribution.
32|/TO_WEST_LA|EDFA2,32,/TO_WEST_LA,EDFA2,2000-01-08 13:00:00,2000-01-15 07:00:00,20.0,20.0,20.0,0.0,-1.4,-1.4,-1.4,0.0,2.69,2.69,2.69,0.0,-2.4736196319018404,-2.6,-2.2,0.10472080509438804,-2.4625766871165644,-2.6,-2.2,0.11115881729773441,-2.63558282208589,-2.8,-2.4,0.11950565955661141,15.298159509202453,15.1,15.5,0.10332281466059254,15.480981595092025,15.3,15.7,0.11523039038832036,15.297546012269938,15.1,15.5,0.1042023910565466,1.4,Normal,Normal,Normal,76.69902912621359,67.96116504854369,76.7,EDFA telemetry is within the normal dataset distribution.
33|/TO_WEST_LA|EDFA2,33,/TO_WEST_LA,EDFA2,2000-01-08 13:00:00,2000-01-15 07:00:00,14.94355828220859,14.9,15.0,0.0497361058406405,-1.4,-1.4,-1.4,0.0,0.04386503067484663,0.0,0.15,0.04607193989991119,0.37668711656441717,0.2,0.6,0.11416392380984093,0.48650306748466254,0.3,0.7,0.11249984220746843,0.36441717791411044,0.1,0.6,0.11846809311292987,15.715950920245398,15.6,15.9,0.09617780625391154,15.892638036809815,15.7,16.1,0.11252340344145358,15.715337423312883,15.5,15.9,0.0972351242778025,1.4,Normal,Normal,Normal,76.69902912621359,35.92233009708738,76.7,EDFA telemetry is within the normal dataset distribution.
