channel_key,device_name,logical_name,pn,side,och,och_group,center_frequency,record_count,time_start,time_end,ber_mean,ber_median,ber_p95,ber_max,ber_min,ber_last,ber_status,ber_risk_score,recommended_check
T6|/1/2/L2|13.0|3.0|192200000.0|A|ot2,T6,/1/2/L2,ot2,A,13.0,3.0,192200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0016000613496932514,0.00156,0.0018180000000000002,0.00215,0.00146,0.00172,Normal,40.0,No immediate action. Continue monitoring Pre-FEC BER.
T7|/1/4/L2|19.0|3.0|193500000.0|A|ot2,T7,/1/4/L2,ot2,A,19.0,3.0,193500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0014723926380368097,0.00145,0.00181,0.0019,0.0012,0.00142,Normal,38.0,No immediate action. Continue monitoring Pre-FEC BER.
T7|/1/1/L2|11.0|3.0|192300000.0|A|ot2,T7,/1/1/L2,ot2,A,11.0,3.0,192300000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.001588957055214724,0.00157,0.001799,0.00194,0.00142,0.00158,Normal,36.0,No immediate action. Continue monitoring Pre-FEC BER.
T12|/1/3/L1|16.0|3.0|193100000.0|Z|ot2,T12,/1/3/L1,ot2,Z,16.0,3.0,193100000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0015885889570552147,0.0016,0.001789,0.002,0.00135,0.00195,Normal,34.0,No immediate action. Continue monitoring Pre-FEC BER.
T16|/1/1/L2|22.0|4.0|193200000.0|Z|ot2,T16,/1/1/L2,ot2,Z,22.0,4.0,193200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0013019018404907977,0.00125,0.001649,0.0022,0.00108,0.00149,Normal,32.0,No immediate action. Continue monitoring Pre-FEC BER.
T5|/1/3/L2|14.0|3.0|193300000.0|A|ot2,T5,/1/3/L2,ot2,A,14.0,3.0,193300000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0013814110429447852,0.00136,0.00159,0.00168,0.00121,0.00129,Normal,30.0,No immediate action. Continue monitoring Pre-FEC BER.
T3|/1/1/L1|1.0|1.0|191400000.0|Z|ot1,T3,/1/1/L1,ot1,Z,1.0,1.0,191400000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,0.0007290377906976744,0.00109,0.00157,0.00213,3.46e-05,3.88e-05,Normal,27.0,No immediate action. Continue monitoring Pre-FEC BER.
T7|/1/2/L2|8.0|3.0|192400000.0|A|ot2,T7,/1/2/L2,ot2,A,8.0,3.0,192400000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.001466196319018405,0.00145,0.00157,0.00165,0.00138,0.00148,Normal,27.0,No immediate action. Continue monitoring Pre-FEC BER.
T5|/1/1/L2|7.0|3.0|193000000.0|A|ot2,T5,/1/1/L2,ot2,A,7.0,3.0,193000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.001333558282208589,0.00132,0.00153,0.00163,0.00118,0.00127,Normal,24.0,No immediate action. Continue monitoring Pre-FEC BER.
T7|/1/3/L2|16.0|3.0|193100000.0|A|ot2,T7,/1/3/L2,ot2,A,16.0,3.0,193100000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0011966257668711657,0.00119,0.0013,0.00139,0.00113,0.00117,Normal,22.0,No immediate action. Continue monitoring Pre-FEC BER.
T5|/1/2/L2|10.0|3.0|193200000.0|A|ot2,T5,/1/2/L2,ot2,A,10.0,3.0,193200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0010796319018404907,0.00107,0.00115,0.00122,0.00102,0.00105,Normal,20.0,No immediate action. Continue monitoring Pre-FEC BER.
T3|/1/4/L1|4.0|2.0|191700000.0|A|ot1,T3,/1/4/L1,ot1,A,4.0,2.0,191700000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,0.00048507034883720927,0.0007985,0.00101,0.00109,1.49e-05,1.72e-05,Normal,18.0,No immediate action. Continue monitoring Pre-FEC BER.
T3|/1/2/L1|6.0|2.0|191500000.0|A|ot1,T3,/1/2/L1,ot1,A,6.0,2.0,191500000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,0.0004167924418604651,0.0006785000000000001,0.0009002999999999999,0.00096,1.12e-05,1.39e-05,Normal,16.0,No immediate action. Continue monitoring Pre-FEC BER.
T3|/1/6/L1|5.0|2.0|191900000.0|A|ot1,T3,/1/6/L1,ot1,A,5.0,2.0,191900000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,0.0002931354651162791,0.000486,0.0006182999999999999,0.000655,8.72e-06,9.71e-06,Normal,14.0,No immediate action. Continue monitoring Pre-FEC BER.
T1|/1/4/L1|2.0|1.0|191600000.0|A|ot1,T1,/1/4/L1,ot1,A,2.0,1.0,191600000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,6.392383720930232e-05,6.12e-05,7.96e-05,0.000107,5.17e-05,7.83e-05,Normal,12.0,No immediate action. Continue monitoring Pre-FEC BER.
T1|/1/6/L1|1.0|1.0|191400000.0|A|ot1,T1,/1/6/L1,ot1,A,1.0,1.0,191400000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,5.78875e-05,5.96e-05,6.799499999999999e-05,8.5e-05,4.26e-05,5.78e-05,Normal,10.0,No immediate action. Continue monitoring Pre-FEC BER.
T2|/1/1/L1|3.0|1.0|191800000.0|A|ot1,T2,/1/1/L1,ot1,A,3.0,1.0,191800000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,5.3603924418604654e-05,5.21e-05,6.63e-05,7.83e-05,4.52e-05,6.33e-05,Normal,8.0,No immediate action. Continue monitoring Pre-FEC BER.
T4|/1/2/L1|4.0|2.0|191700000.0|Z|ot1,T4,/1/2/L1,ot1,Z,4.0,2.0,191700000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,2.2781831395348838e-05,2.83e-05,3.22e-05,3.86e-05,1.32e-05,1.48e-05,Normal,6.0,No immediate action. Continue monitoring Pre-FEC BER.
T4|/1/1/L1|6.0|2.0|191500000.0|Z|ot1,T4,/1/1/L1,ot1,Z,6.0,2.0,191500000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,2.1327616279069766e-05,2.38e-05,2.81e-05,3.3e-05,1.34e-05,1.56e-05,Normal,4.0,No immediate action. Continue monitoring Pre-FEC BER.
T4|/1/3/L1|5.0|2.0|191900000.0|Z|ot1,T4,/1/3/L1,ot1,Z,5.0,2.0,191900000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,1.5282427325581398e-05,1.7650000000000002e-05,2.11e-05,2.66e-05,8.74e-06,1.12e-05,Normal,2.0,No immediate action. Continue monitoring Pre-FEC BER.
T13|/1/3/L1|17.0|3.0|192000000.0|Z|ot2,T13,/1/3/L1,ot2,Z,17.0,3.0,192000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0029755828220858894,0.00271,0.004347,0.0048,0.00213,0.00213,Warning,98.0,"Pre-FEC BER is above dataset P90. Check optical quality trend, OCH power and EDFA telemetry."
T11|/1/3/L1|9.0|3.0|194400000.0|Z|ot2,T11,/1/3/L1,ot2,Z,9.0,3.0,194400000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0026295705521472393,0.00254,0.0040420000000000005,0.00461,0.00166,0.00249,Warning,96.0,"Pre-FEC BER is above dataset P90. Check optical quality trend, OCH power and EDFA telemetry."
T10|/1/1/L2|25.0|4.0|193000000.0|A|ot2,T10,/1/1/L2,ot2,A,25.0,4.0,193000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0024461349693251535,0.00228,0.003725,0.00468,0.00147,0.00185,Warning,94.0,"Pre-FEC BER is above dataset P90. Check optical quality trend, OCH power and EDFA telemetry."
T17|/1/2/L1|24.0|4.0|192500000.0|Z|ot2,T17,/1/2/L1,ot2,Z,24.0,4.0,192500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002703680981595092,0.00259,0.0035180000000000003,0.00418,0.00203,0.00213,Warning,92.0,"Pre-FEC BER is above dataset P90. Check optical quality trend, OCH power and EDFA telemetry."
