priority,overall_status,overall_risk_score,issue_category_final,recommended_check,time_start,time_end,device_name,logical_name,pn,side,och,och_group,center_frequency,ber_status,ber_risk_score,ber_mean,ber_p95,ber_max,ber_last,frequency_status,frequency_risk_score,issue_category,device_status,device_risk_score,power_device_status,edfa_device_status,channel_key,record_count,ber_median,ber_min,ber_critical_count,ber_warning_count,power_critical_count,power_warning_count
P3,Normal,52.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T2,/1/1/L1,ot1,A,3.0,1.0,191800000.0,Normal,8.0,5.3603924418604654e-05,6.63e-05,7.83e-05,6.33e-05,Normal,52.0,No abnormal behavior detected,Unknown,0.0,,,T2|/1/1/L1|3.0|1.0|191800000.0|A|ot1,688,5.21e-05,4.52e-05,0,0,0,0
P3,Normal,50.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T3,/1/3/L1,ot1,Z,2.0,1.0,191600000.0,Normal,50.0,0.0009585700581395,0.00206,0.00256,5.46e-05,Normal,50.0,No abnormal behavior detected,Unknown,0.0,,,T3|/1/3/L1|2.0|1.0|191600000.0|Z|ot1,688,0.001475,5.1e-05,0,0,0,0
P3,Normal,50.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T1,/1/4/L1,ot1,A,2.0,1.0,191600000.0,Normal,12.0,6.392383720930232e-05,7.96e-05,0.000107,7.83e-05,Normal,50.0,No abnormal behavior detected,Unknown,0.0,,,T1|/1/4/L1|2.0|1.0|191600000.0|A|ot1,688,6.12e-05,5.17e-05,0,0,0,0
P3,Normal,45.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T13,/1/2/L1,ot2,Z,18.0,3.0,193800000.0,Normal,45.0,0.0016311042944785,0.001979,0.00207,0.00204,Normal,45.0,No abnormal behavior detected,Unknown,0.0,,,T13|/1/2/L1|18.0|3.0|193800000.0|Z|ot2,163,0.00159,0.00128,0,0,0,0
P3,Normal,45.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T8,/1/2/L2,ot2,A,18.0,3.0,193800000.0,Normal,42.0,0.001400981595092,0.00191,0.00204,0.00112,Normal,45.0,No abnormal behavior detected,Unknown,0.0,,,T8|/1/2/L2|18.0|3.0|193800000.0|A|ot2,163,0.00138,0.00105,0,0,0,0
P3,Normal,34.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T12,/1/3/L1,ot2,Z,16.0,3.0,193100000.0,Normal,34.0,0.0015885889570552,0.001789,0.002,0.00195,Normal,34.0,No abnormal behavior detected,Unknown,0.0,,,T12|/1/3/L1|16.0|3.0|193100000.0|Z|ot2,163,0.0016,0.00135,0,0,0,0
P3,Normal,34.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T7,/1/3/L2,ot2,A,16.0,3.0,193100000.0,Normal,22.0,0.0011966257668711,0.0013,0.00139,0.00117,Normal,34.0,No abnormal behavior detected,Unknown,0.0,,,T7|/1/3/L2|16.0|3.0|193100000.0|A|ot2,163,0.00119,0.00113,0,0,0,0
P3,Normal,27.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T3,/1/1/L1,ot1,Z,1.0,1.0,191400000.0,Normal,27.0,0.0007290377906976,0.00157,0.00213,3.88e-05,Normal,27.0,No abnormal behavior detected,Unknown,0.0,,,T3|/1/1/L1|1.0|1.0|191400000.0|Z|ot1,688,0.00109,3.46e-05,0,0,0,0
P3,Normal,27.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T1,/1/6/L1,ot1,A,1.0,1.0,191400000.0,Normal,10.0,5.78875e-05,6.799499999999999e-05,8.5e-05,5.78e-05,Normal,27.0,No abnormal behavior detected,Unknown,0.0,,,T1|/1/6/L1|1.0|1.0|191400000.0|A|ot1,688,5.96e-05,4.26e-05,0,0,0,0
P3,Normal,18.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T3,/1/4/L1,ot1,A,4.0,2.0,191700000.0,Normal,18.0,0.0004850703488372,0.00101,0.00109,1.72e-05,Normal,18.0,No abnormal behavior detected,Unknown,0.0,,,T3|/1/4/L1|4.0|2.0|191700000.0|A|ot1,688,0.0007985,1.49e-05,0,0,0,0
